openness,conscientiousness,agreeableness,extraversion,neuroticism,descriptive,normative,ca1,ca2,ca3,ca4,ca5,ca6,ca7,ca8,ca_average,c/a,ao1,ao2,ao3,ao4,ao5,ao6,ao7,ao8,ao_average,a/o,oc1,oc2,oc3,oc4,oc5,oc6,oc7,oc8,oc_average,o/c,en1,en2,en3,en4,en5,en6,en7,en8,en_average,e/n,dn1,dn2,dn3,dn4,dn5,dn6,dn7,dn8,dn_average,d/n,age,extentfeminine,extentconservative,extenthumanities,extentcapitalism,gender,svo
822,666,912,490,310,517,283,50,33,77,50,53,75,50,50,55,0.73,38,36,20,39,50,45,36,62,41,1.109,29,72,14,40,12,36,57,44,38,1.234,40,42,68,26,26,35,50,23,39,1.581,26,19,50,33,39,34,40,42,35,1.83,17,90,16,86,28,0,37.482
696,600,1004,698,102,646,154,50,100,100,50,2,100,100,50,69,0.598,99,50,0,2,0,0,0,97,31,1.443,100,100,100,0,0,1,1,50,44,1.16,2,0,0,0,100,0,0,0,13,6.843,0,3,50,0,0,50,1,50,19,4.19,16,50,50,50,50,1,43.187
725,769,906,523,277,584,216,42,24,24,50,25,40,24,87,40,0.849,24,88,12,26,25,12,25,50,33,1.25,1,62,26,62,75,24,37,74,45,0.943,50,12,12,63,39,50,26,25,35,1.888,50,25,1,76,26,24,12,2,27,2.7,17,54,58,4,50,1,-6.87
726,1168,506,598,202,501,299,15,34,0,15,16,25,0,55,20,2.308,74,14,30,75,38,73,69,81,57,0.697,87,50,68,60,63,0,100,100,66,0.622,23,74,0,0,23,34,27,21,25,2.96,33,16,89,86,0,0,0,75,37,1.68,16,0,75,0,100,1,31.498
922,745,733,523,277,483,317,27,28,0,53,98,11,2,100,40,1.016,10,74,42,1,65,68,26,100,48,0.795,78,94,0,25,0,14,2,51,33,1.238,7,84,26,0,52,14,74,20,35,1.888,0,59,0,26,92,66,0,74,40,1.52,17,0,39,70,86,1,19.401
881,563,956,519,281,271,529,26,50,100,75,69,74,79,50,65,0.589,11,57,50,25,50,100,24,50,46,1.085,36,100,25,37,14,12,12,50,36,1.565,14,50,2,55,71,0,45,44,35,1.847,59,72,50,65,61,67,68,87,66,0.51,17,100,13,100,22,0,30.429
713,914,773,527,273,717,83,50,60,6,50,5,12,58,99,43,1.182,50,16,66,83,6,34,20,92,46,1.084,100,88,99,74,11,6,38,38,57,0.78,20,82,1,65,1,15,71,18,34,1.93,3,14,0,31,0,4,6,25,10,8.64,17,11,73,50,50,1,34.875
668,876,856,371,429,254,446,31,81,1,50,59,17,0,82,40,1.023,50,50,20,14,10,16,66,39,33,1.281,25,87,8,18,32,85,84,58,50,0.763,91,98,15,43,82,14,0,86,54,0.865,50,100,81,94,20,82,0,19,56,0.57,17,100,50,26,50,0,18.214
823,692,885,272,528,596,204,50,74,24,69,37,92,24,83,57,0.782,24,62,64,6,56,74,19,63,46,1.075,69,30,6,30,0,74,43,93,43,1.189,92,73,39,86,75,22,100,41,66,0.515,17,0,50,19,50,38,15,15,26,2.92,17,87,15,63,68,0,42.447
893,714,893,508,292,421,379,30,62,74,86,26,31,50,74,54,0.8,62,77,25,46,24,28,25,52,42,1,26,88,76,25,29,87,25,29,48,1.251,14,45,74,13,47,44,17,38,37,1.74,33,80,25,25,26,84,30,76,47,1.11,17,12,25,12,25,1,7.815
813,805,782,462,338,440,360,50,0,61,50,50,50,50,50,45,1.029,29,50,50,50,50,50,50,50,47,0.962,62,36,14,50,35,62,57,50,46,1.01,39,50,50,26,50,50,50,23,42,1.367,40,50,50,50,50,20,50,50,45,1.22,17,84,58,68,94,0,47.626
807,648,945,399,401,401,399,53,26,38,31,75,79,41,89,54,0.686,14,20,81,42,18,32,24,56,36,1.171,38,87,2,36,12,46,0,59,35,1.245,99,81,75,12,71,25,25,13,50,0.995,8,97,75,36,25,91,26,41,50,1.01,17,0,26,0,14,1,2.095
949,665,786,423,377,188,612,50,7,75,73,94,100,0,50,56,0.846,16,74,100,16,76,100,6,75,58,0.828,73,72,24,24,0,31,50,40,39,1.427,4,50,100,20,77,28,75,23,47,1.122,26,100,50,87,89,74,100,86,77,0.31,17,86,10,87,50,0,45
805,569,1026,707,93,410,390,90,50,34,80,66,100,37,100,70,0.555,4,55,50,0,50,97,27,48,41,1.275,33,100,46,40,15,52,32,8,41,1.415,37,0,39,0,11,3,0,3,12,7.602,4,99,50,60,67,50,50,10,49,1.05,16,30,4,37,79,1,45
863,732,905,400,300,411,389,25,26,26,50,100,75,26,100,54,0.809,75,26,0,50,63,60,25,50,44,1.049,0,100,0,87,0,25,0,74,36,1.179,100,26,74,0,0,25,74,27,41,1.333,0,74,50,75,25,100,0,65,49,1.06,17,0,26,0,0,1,43.187
1256,492,652,291,509,402,398,88,24,6,88,87,85,12,43,54,0.755,100,88,100,86,58,90,24,35,73,0.519,0,62,12,0,11,25,0,15,16,2.553,100,100,64,26,75,84,36,24,64,0.572,74,85,50,25,38,25,40,61,50,1.01,17,0,10,100,25,1,23.749
1148,616,636,528,372,354,346,0,26,26,50,50,50,72,50,41,0.969,50,74,86,28,0,100,73,77,61,0.554,0,50,0,0,0,72,68,50,30,1.864,75,0,0,74,65,66,76,16,47,1.419,0,92,11,49,69,50,0,75,43,1.02,17,72,25,0,50,0,24.037
753,733,914,537,263,265,535,43,15,100,63,74,38,26,63,53,0.802,25,41,64,0,26,38,25,89,39,1.214,100,42,0,25,0,75,38,75,44,1.027,25,25,0,50,100,0,37,26,33,2.042,100,88,44,26,14,88,88,87,67,0.5,16,100,25,100,100,0,34.875
1000,586,814,509,291,408,392,36,73,100,75,100,83,21,30,65,0.72,53,45,85,66,47,80,28,100,63,0.814,34,88,0,23,0,63,75,21,38,1.706,16,49,23,25,52,38,77,11,36,1.749,27,83,56,26,23,37,76,64,49,1.04,17,97,0,81,18,0,34.875
987,645,768,551,249,558,242,50,100,0,63,75,24,0,100,52,0.84,50,14,73,85,50,75,22,75,56,0.778,80,50,0,64,12,0,26,25,32,1.53,38,86,88,0,25,12,0,0,31,2.213,0,88,77,0,32,9,10,26,30,2.31,17,0,50,20,76,1,18.598
689,918,793,443,357,274,526,8,11,100,50,15,75,0,50,39,1.158,12,17,75,13,24,81,68,26,40,1.151,13,50,84,37,31,62,100,50,53,0.751,15,96,100,44,18,9,0,75,45,1.241,83,100,27,16,0,100,100,100,66,0.52,17,74,26,50,50,0,38.437
926,836,638,449,351,489,311,50,0,100,50,26,28,25,25,38,1.31,0,39,100,100,26,74,27,100,58,0.689,58,61,22,30,28,65,50,26,43,1.108,23,75,9,50,61,0,100,33,44,1.279,0,72,50,16,24,50,0,99,39,1.57,17,18,26,0,50,1,37.482
836,732,832,496,304,315,485,62,38,87,26,74,33,76,35,54,0.88,50,36,75,81,26,66,8,57,50,0.995,67,89,25,34,25,33,50,40,45,1.142,17,41,25,74,50,15,73,9,38,1.632,50,87,23,74,50,84,92,25,61,0.65,18,53,10,100,50,1,45
990,766,644,511,289,568,232,50,16,0,50,62,26,38,58,38,1.189,82,40,86,55,50,93,50,0,57,0.651,41,66,100,0,0,9,0,50,33,1.292,64,12,56,26,58,50,11,12,36,1.768,34,50,37,0,14,21,13,63,29,2.45,17,9,37,0,39,1,37.482
978,485,937,385,415,248,552,47,43,80,92,81,64,33,100,68,0.518,82,70,27,30,74,31,83,6,50,0.958,24,31,25,34,23,57,11,20,28,2.016,87,81,61,29,74,32,19,32,52,0.928,100,77,35,0,57,85,98,100,69,0.45,17,0,64,97,50,1,7.815
852,669,879,250,550,459,341,50,39,93,50,31,84,50,50,56,0.761,26,50,76,38,41,60,24,53,46,1.032,18,83,16,43,58,50,4,44,40,1.274,86,84,74,50,94,41,79,42,69,0.455,50,81,50,15,9,34,22,80,43,1.35,18,100,6,93,28,0,35.651
765,777,858,460,340,389,411,62,0,100,27,75,24,27,50,46,0.906,0,50,98,17,0,37,7,98,38,1.122,50,99,0,16,26,17,84,50,43,0.985,0,82,1,0,95,62,100,0,43,1.353,50,50,99,26,5,88,4,89,51,0.95,19,26,27,74,63,1,37.482
994,574,832,476,324,533,267,38,100,0,26,100,50,15,50,47,0.69,19,26,100,0,1,100,1,100,43,0.837,26,100,0,0,0,27,0,0,19,1.732,26,100,14,15,25,31,100,13,41,1.469,50,0,50,25,50,92,0,0,33,2,17,35,7,38,8,0,37.482
1012,743,645,629,171,651,149,53,0,0,39,34,46,0,59,29,1.152,68,28,75,100,0,65,50,0,48,0.637,25,59,9,27,0,22,0,32,22,1.362,17,69,11,14,9,16,18,17,21,3.678,0,100,0,0,25,0,4,20,19,4.37,16,0,26,0,48,1,34.875
638,850,912,700,100,513,287,50,26,100,74,0,50,0,50,44,0.932,0,15,0,50,0,23,50,100,30,1.429,50,100,26,100,74,0,0,50,50,0.751,0,26,0,22,0,0,26,26,13,7,75,0,50,26,10,26,0,100,36,1.79,17,0,50,18,50,1,45
769,714,917,347,453,210,590,50,77,73,69,75,50,50,50,62,0.779,50,50,74,24,50,50,50,29,47,1.192,26,50,50,50,82,50,50,50,51,1.077,75,50,50,50,75,27,76,50,57,0.766,71,97,98,50,76,50,73,75,74,0.36,17,100,50,50,75,0,37.482
1003,538,859,602,198,466,334,62,74,100,50,74,31,66,50,63,0.626,50,15,91,86,25,82,25,74,56,0.856,15,75,26,0,40,34,15,40,31,1.864,25,26,37,14,26,26,25,19,25,3.04,25,26,48,38,54,54,50,39,42,1.4,17,38,38,39,74,1,45
975,664,761,502,298,149,651,0,72,95,70,73,29,30,78,56,0.873,76,23,93,93,2,71,30,98,61,0.781,22,95,0,24,2,74,21,73,39,1.468,71,1,75,0,23,4,98,26,37,1.685,70,54,96,70,95,93,76,97,81,0.23,17,0,28,96,95,1,37.482
